city,state,fiscal_year,police_budget_usd,city_budget_usd,budget_type,police_pct,police_per_capita_usd,police_employees,source_url,retrieved,police_dept_only_usd,other_police_agency_usd,police_employee_resident_ratio,city_budget_usd_basis,police_employees_basis
Providence,RI,2020,85644030,778582091,city funds,0.11,478,638,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/providence-ri,2026-09-14,56150999,29493031,1 : 281,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Raleigh,NC,2020,109694902,522356676,city funds,0.21,233,902,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/raleigh-nc,2026-09-14,109694902,0,1 : 522,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Sacramento,CA,2020,184342524,709009708,city funds,0.26,295,1316,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/sacramento-ca,2026-09-14,184342524,0,1 : 475,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Salt Lake City,UT,2020,82235729,328942916,city funds,0.25,410,711,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/salt-lake-city-ut,2026-09-14,82235729,0,1 : 282,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
San Antonio,TX,2020,479091284,1294841308,city funds,0.37,313,3086,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/san-antonio-tx,2026-09-14,479091284,0,1 : 496,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
San Diego,CA,2020,542087473,1594374921,city funds,0.34,378,2671,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/san-diego-ca,2026-09-14,542087473,0,1 : 537,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
San Francisco,CA,2020,706182301,7846470011,city funds,0.09,604,4252,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/san-francisco-ca,2026-09-14,694782292,11400009,1 : 275,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
San Jose,CA,2020,473208901,1577363003,city funds,0.30,434,1790,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/san-jose-ca,2026-09-14,464466750,8742151,1 : 609,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Seattle,WA,2020,440240547,3668671225,city funds,0.12,546,2371,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/seattle-wa,2026-09-14,409111750,31128797,1 : 340,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Sioux Falls,SD,2020,41028140,178383217,city funds,0.23,221,318,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/sioux-falls-sd,2026-09-14,31069826,9958314,1 : 584,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
St. Louis,MO,2020,154870227,573593433,city funds,0.27,454,2018,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/st-louis-mo,2026-09-14,122720607,32149620,1 : 169,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Tampa,FL,2020,176982462,431664541,city funds,0.41,450,1245,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/tampa-fl,2026-09-14,176982462,0,1 : 316,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Tucson,AZ,2020,193274430,690265821,city funds,0.28,301,1352,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/tucson-az,2026-09-14,193274430,0,1 : 475,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Tulsa,OK,2020,121682000,347662857,city funds,0.35,255,1344,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/tulsa-ok,2026-09-14,121682000,0,1 : 355,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Virginia Beach,VA,2020,102960533,1144005922,city funds,0.09,229,1058,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/virginia-beach-va,2026-09-14,102960533,0,1 : 425,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Washington,DC,2020,655379632,13107592640,city funds,0.05,744,5992,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/washington-dc,2026-09-14,559528000,95851632,1 : 147,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Wichita,KS,2020,89245584,254987383,city funds,0.35,229,844,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/wichita-ks,2026-09-14,89245584,0,1 : 462,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
Wilmington,DE,2020,59770276,175794929,city funds,0.34,825,390,https://www.vera.org/publications/what-policing-costs-in-americas-biggest-cities/wilmington-de,2026-09-14,59770276,0,1 : 186,derived: police_budget_usd / police_pct (police_pct published rounded to whole percent),derived: (police_budget_usd / police_per_capita_usd) / residents-per-employee from published ratio
