cbsa,name,line,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10540,"Albany, OR (Metropolitan Statistical Area)",housing,91.898,104.561,93.064,86.584,95.021,93.454,101.912,91.42,98.351,93.068,102.129,104.894,106.237,101.272,98.984,108.588,101.059
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",all,102.446,101.846,99.638,100.561,99.456,101.646,99.193,100.607,101.077,100.618,99.86,99.434,98.997,98.995,96.582,98.177,99.566
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",housing,104.627,101.238,96.822,106.353,100.504,108.512,104.966,98.829,101.86,94.297,101.482,104.643,95.652,100.221,92.409,92.815,102.582
10740,"Albuquerque, NM (Metropolitan Statistical Area)",all,96.974,99.044,97.431,100.436,99.586,98.341,98.48,96.755,96.61,98.123,93.919,95.072,94.168,92.103,93.375,93.627,95.546
10740,"Albuquerque, NM (Metropolitan Statistical Area)",housing,96.456,91.584,90.896,96.768,91.218,92.857,93.9,88.366,91.624,90.015,86.266,82.969,86.225,84.374,88.684,88.727,89.153
10780,"Alexandria, LA (Metropolitan Statistical Area)",all,89.683,86.177,89.07,87.004,90.309,91.543,90.783,90.292,92.146,90.526,87.456,89.101,87.264,89.319,86.022,86.523,85.686
10780,"Alexandria, LA (Metropolitan Statistical Area)",housing,58.4,53.184,56.641,50.14,61.048,66.363,63.494,60.419,62.499,61.68,55.217,61.952,55.388,56.778,48.059,56.069,53.684
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",all,101.062,102.387,101.084,99.843,99.905,100.764,99.504,100.948,101.097,101.692,99.188,99.147,99.704,98.108,98.067,98.88,99.968
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",housing,100.085,104.307,108.514,102.141,103.748,101.255,103.551,102.364,103.039,99.577,99.0,102.898,101.469,96.058,102.855,98.934,105.52
11020,"Altoona, PA (Metropolitan Statistical Area)",all,93.889,91.735,93.727,93.459,92.27,92.776,89.316,92.507,91.485,91.17,91.335,90.713,89.73,89.25,89.036,88.659,89.507
11020,"Altoona, PA (Metropolitan Statistical Area)",housing,61.01,55.075,69.495,70.532,64.929,60.944,54.61,58.954,58.649,54.065,58.661,56.554,54.049,55.791,53.576,53.018,54.978
11100,"Amarillo, TX (Metropolitan Statistical Area)",all,95.81,93.544,95.021,96.413,96.178,96.482,96.336,97.002,97.211,96.142,93.214,94.149,94.477,93.486,91.54,91.375,91.82
11100,"Amarillo, TX (Metropolitan Statistical Area)",housing,86.015,80.031,79.569,85.281,83.891,85.583,83.863,87.452,85.105,85.536,80.082,84.202,80.058,77.161,74.701,77.355,78.38
11180,"Ames, IA (Metropolitan Statistical Area)",all,82.422,90.049,92.918,91.698,92.31,94.448,92.916,90.016,88.729,89.726,93.896,95.923,93.106,91.489,88.384,91.465,88.83
11180,"Ames, IA (Metropolitan Statistical Area)",housing,67.182,90.609,86.979,90.333,86.363,104.038,92.87,81.813,80.19,89.089,83.683,92.279,80.849,72.433,65.764,79.777,69.163
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",all,99.702,103.68,96.655,100.097,99.338,99.975,99.326,103.112,99.728,102.315,100.783,98.706,101.792,98.954,101.053,102.815,100.243
11200,"Amherst Town-Northampton, MA (Metropolitan Statistical Area)",housing,88.539,112.801,80.588,104.934,99.614,95.975,102.418,116.025,90.023,101.843,100.982,88.205,103.011,94.875,83.752,107.007,97.537
11260,"Anchorage, AK (Metropolitan Statistical Area)",all,106.466,111.767,106.198,106.713,107.169,106.441,104.856,105.662,108.072,107.808,106.447,104.802,103.187,106.79,103.162,106.771,105.42
11260,"Anchorage, AK (Metropolitan Statistical Area)",housing,122.422,148.425,127.331,127.076,137.835,147.296,132.081,135.566,129.644,126.089,117.23,116.029,99.703,113.724,112.791,120.757,109.905
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",all,103.633,101.299,101.136,100.368,100.855,100.139,102.572,100.22,98.389,98.536,99.298,100.67,98.552,99.495,97.878,98.15,100.88
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",housing,126.267,105.734,113.587,109.905,119.466,109.015,126.364,120.776,110.87,117.904,118.588,124.796,113.49,121.817,113.802,112.146,125.3
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",all,88.222,83.483,88.838,90.922,90.766,90.411,89.715,91.141,90.83,88.604,85.143,87.6,85.751,83.732,84.164,86.153,85.949
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",housing,54.839,41.139,56.635,59.448,59.101,61.539,53.783,61.601,56.978,50.342,51.944,55.151,51.964,49.913,44.717,49.749,54.705
11540,"Appleton, WI (Metropolitan Statistical Area)",all,97.111,94.617,95.147,94.163,94.608,95.302,94.391,93.368,92.887,92.104,93.577,93.724,92.296,93.432,91.868,93.736,92.419
11540,"Appleton, WI (Metropolitan Statistical Area)",housing,83.862,73.773,81.02,81.341,81.192,81.983,79.145,78.245,75.377,75.827,77.758,75.347,72.387,75.475,75.264,81.646,70.785
11700,"Asheville, NC (Metropolitan Statistical Area)",all,94.367,92.151,93.676,94.254,95.061,95.198,95.38,94.228,96.514,94.936,93.961,94.851,94.076,95.798,95.646,97.392,96.506
11700,"Asheville, NC (Metropolitan Statistical Area)",housing,84.543,80.725,80.502,80.779,84.64,83.861,84.664,80.833,89.479,86.427,81.091,91.585,89.425,87.282,88.731,97.259,93.371
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",all,94.209,94.348,94.719,94.394,93.333,93.442,93.472,92.871,93.748,93.818,90.547,90.634,90.219,94.407,93.425,93.538,93.343
