city,state,fiscal_year,view,population,police_usd,fire_usd,total_expenditure_usd,general_expenditure_usd,source_url,retrieved
Ft. Smith,AR,2022,fisc,89411,18868657,13758181,461688686,418238048,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2023,city_only,90167,19867397,18338164,229134184,185191296,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Ft. Smith,AR,2023,fisc,90167,24011472,18687111,489553611,442669476,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2012,city_only,195329,55425447,39865464,357570518,357570518,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2012,fisc,195329,60272119,39865464,840228755,809129395,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2017,city_only,198699,71607362,50119399,498751557,498751557,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2017,fisc,198699,77088447,50119399,983761239,964453562,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2022,city_only,202141,80292203,57316627,561827977,561827977,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2022,fisc,202141,86545738,57316627,1042761889,1031388649,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2023,city_only,203416,78911169,58598047,550803742,550803742,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Little Rock,AR,2023,fisc,203416,84800062,58598047,1137229695,1125213911,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2012,city_only,48046,10511852,6399935,44777102,42347168,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2012,fisc,48046,13163347,6698971,145232701,142646009,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2017,city_only,43937,14770872,8487154,49174032,48058883,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2017,fisc,43937,17222434,8860403,140727991,139292258,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2022,city_only,40338,11335855,8738128,53732084,52551968,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2022,fisc,40338,16116371,9173988,164872976,161680542,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2023,city_only,39609,11121019,9239195,55891864,54766176,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Pine Bluff,AR,2023,fisc,39609,14004950,10019493,166259570,163488920,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2012,city_only,447525,157487941,76112034,781906061,601217961,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2012,fisc,447525,168491156,76112034,1899550123,1371358709,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2017,city_only,490617,179260056,84141992,926876197,713634128,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2017,fisc,490617,192979159,84141992,2148618392,1533105849,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2022,city_only,509284,254171195,119611413,1088261837,811002847,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2022,fisc,509284,255589725,120839175,2726218655,1990696269,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2023,city_only,512545,224422954,94938710,1106533401,869281445,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Mesa,AZ,2023,fisc,512545,247641242,94938710,2982955520,2131213365,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2012,city_only,1469770,471353164,283469739,3218504524,2579656582,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2012,fisc,1469770,507490129,283469739,7248014245,5467878326,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2017,city_only,1612303,453427882,310015539,3079091661,2523354241,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2017,fisc,1612303,498499591,310015539,7469828431,5592316117,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2022,city_only,1625132,547805223,361015130,4074293540,3007106656,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2022,fisc,1625132,552331765,364948539,9567673576,7036290865,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2023,city_only,1644798,671308672,396561280,4092525568,3169644736,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Phoenix,AZ,2023,fisc,1644798,745818112,396561280,10418705984,7521900672,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2012,city_only,530646,133123919,77621633,847940268,608533929,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2012,fisc,530646,217630858,77621633,2192974062,1916342286,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2017,city_only,537596,206021676,97475178,954434184,693159707,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2017,fisc,537596,262658391,97475178,2122998920,1823787877,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2022,city_only,541283,283044586,118304360,1075625575,726451991,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2022,fisc,541283,339046281,118304360,2438626353,1970280206,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2023,city_only,547476,179457158,102690073,1179257829,817485688,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Tucson,AZ,2023,fisc,547476,273601131,102690073,2671606233,2210647866,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2012,city_only,343357,108478990,55156660,1125701404,658526900,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2012,fisc,343357,133872424,55156660,2332690257,1654381574,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2017,city_only,351979,147850814,68924937,1117310548,705411704,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2017,fisc,351979,182106581,69669628,2534620975,1885482963,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2022,city_only,344803,172784830,83981495,1132778191,814109501,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2022,fisc,344803,265992731,84776303,2928602519,2385877202,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2023,city_only,343626,211701106,97510750,1303741098,962895032,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Anaheim,CA,2023,fisc,343626,312325108,98393869,3298142966,2686138187,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
Bakersfield,CA,2012,city_only,352430,68489860,32666192,401509221,374326785,https://app.lincolninst.edu/research-data/data-toolkits/fiscally-standardized-cities/search-database,2026-09-14
